date,instance_id,instance_type,cpu_avg,memory_avg,network_in,network_out,cost_usd
2024-04-09,i-00006704,c5.large,33.62,55.13,0.4931,1.2631,2.0959
2024-04-10,i-00006704,c5.large,66.42,82.45,10.3839,3.8404,2.379
2024-04-11,i-00006704,c5.large,57.92,73.96,3.6685,4.9565,2.4496
2024-04-12,i-00006704,c5.large,55.25,59.81,5.8106,3.8789,2.4369
2024-04-13,i-00006704,c5.large,19.56,30.95,0.1217,1.5245,2.1506
2024-04-14,i-00006704,c5.large,24.58,20.83,2.3434,0.9083,1.9971
2024-04-15,i-00006704,c5.large,53.23,69.55,5.3927,4.6752,2.3743
2024-04-16,i-00006704,c5.large,57.31,56.43,0.0,0.3549,2.0373
2024-04-17,i-00006704,c5.large,55.31,57.28,3.5268,1.6895,2.0911
2024-04-18,i-00006704,c5.large,55.82,80.88,3.7017,6.7588,2.5468
2024-04-19,i-00006704,c5.large,46.39,47.45,5.5484,1.595,2.2594
2024-04-20,i-00006704,c5.large,21.28,36.49,0.0,0.4059,2.084
2024-04-21,i-00006704,c5.large,24.15,31.17,1.9097,0.5945,2.0939
2024-04-22,i-00006704,c5.large,64.32,91.36,7.3033,1.7203,2.2567
2024-04-23,i-00006704,c5.large,56.69,61.08,8.0186,3.7788,2.4041
2024-04-24,i-00006704,c5.large,58.06,65.86,6.4223,4.1894,2.3654
2024-04-25,i-00006704,c5.large,51.13,62.88,5.6856,5.773,2.4826
2024-04-26,i-00006704,c5.large,54.72,77.63,3.3563,4.7828,2.4495
2024-04-27,i-00006704,c5.large,25.55,35.02,0.0,2.0454,2.1295
2024-04-28,i-00006704,c5.large,26.42,33.07,2.5013,1.3136,1.2933
2024-04-29,i-00006704,c5.large,59.83,66.55,7.6008,6.0671,2.688
2024-04-30,i-00006704,c5.large,57.82,74.05,5.6973,4.8107,2.4189
2024-05-01,i-00006704,c5.large,60.07,56.29,7.173,2.8493,2.3225
2024-05-02,i-00006704,c5.large,66.54,77.37,3.7778,2.0979,2.2105
2024-05-03,i-00006704,c5.large,59.96,75.82,6.5704,4.5884,2.4261
2024-05-04,i-00006704,c5.large,24.88,39.98,3.068,1.088,2.169
2024-05-05,i-00006704,c5.large,24.74,31.59,2.5266,1.5854,2.2465
2024-05-06,i-00006704,c5.large,55.82,53.96,3.9799,4.232,2.4527
2024-05-07,i-00006704,c5.large,53.37,82.0,1.7805,5.7318,2.5874
2024-05-08,i-00006704,c5.large,58.56,70.67,4.4385,5.4441,2.5254
2024-05-09,i-00006704,c5.large,58.64,78.19,5.0631,1.4846,2.0698
2024-05-10,i-00006704,c5.large,56.81,76.23,3.9774,5.8903,2.5585
2024-05-11,i-00006704,c5.large,24.97,36.7,0.0,0.0,2.0231
2024-05-12,i-00006704,c5.large,24.78,36.45,0.4755,2.1838,2.2697
2024-05-13,i-00006704,c5.large,64.94,74.49,7.5657,4.7659,2.5208
2024-05-14,i-00006704,c5.large,48.64,58.41,8.1371,2.3994,2.2397
2024-05-15,i-00006704,c5.large,55.63,48.34,6.1158,1.5408,2.1789
2024-05-16,i-00006704,c5.large,53.11,44.94,9.2554,2.9791,2.1629
2024-05-17,i-00006704,c5.large,52.9,77.93,4.6401,5.4436,2.5328
2024-05-18,i-00006704,c5.large,24.76,20.64,0.0,0.3025,2.11
2024-05-19,i-00006704,c5.large,23.37,31.97,1.6002,1.8683,2.171
2024-05-20,i-00006704,c5.large,55.88,83.83,0.0,0.7968,2.0887
2024-05-21,i-00006704,c5.large,42.94,48.35,9.9764,5.7942,1.1528
2024-05-22,i-00006704,c5.large,54.06,59.0,1.3454,1.8663,2.2322
2024-05-23,i-00006704,c5.large,44.44,50.14,5.7727,2.6415,2.2561
2024-05-24,i-00006704,c5.large,59.9,89.59,8.1613,3.1294,2.4563
2024-05-25,i-00006704,c5.large,20.33,37.94,0.0,0.0,2.0657
2024-05-26,i-00006704,c5.large,22.41,24.43,0.0242,3.2754,2.3969
2024-05-27,i-00006704,c5.large,53.51,62.05,1.8346,0.0,1.9668
2024-05-28,i-00006704,c5.large,54.64,75.18,7.1503,1.6632,2.2376
2024-05-29,i-00006704,c5.large,59.48,75.66,3.0297,1.4441,2.0212
2024-05-30,i-00006704,c5.large,57.62,68.68,6.9417,4.5971,2.5477
2024-05-31,i-00006704,c5.large,68.47,77.94,6.7842,3.3903,2.3331
2024-06-01,i-00006704,c5.large,28.23,33.4,2.0781,0.2349,2.109
2024-06-02,i-00006704,c5.large,31.01,37.8,1.9448,1.9945,2.2162
2024-06-03,i-00006704,c5.large,48.31,71.95,6.1266,5.7252,2.5265
2024-06-04,i-00006704,c5.large,51.505,40.15,8.7913,3.6982,1.7341
2024-06-05,i-00006704,c5.large,61.37,52.41,2.7428,3.6871,2.4305
2024-06-06,i-00006704,c5.large,51.49,57.33,5.6392,4.6759,2.412
2024-06-07,i-00006704,c5.large,47.28,55.58,6.1042,4.2573,2.2428
2024-06-08,i-00006704,c5.large,29.19,33.17,0.0,1.9511,2.2424
2024-06-09,i-00006704,c5.large,31.36,32.28,0.0,2.4569,2.2231
2024-06-10,i-00006704,c5.large,42.5,43.61,4.8719,0.0,2.0854
2024-06-11,i-00006704,c5.large,46.4,68.21,5.5511,6.2526,2.6541
2024-06-12,i-00006704,c5.large,51.505,61.16,6.2986,2.2964,2.4024
2024-06-13,i-00006704,c5.large,49.14,50.75,4.2015,4.0481,2.4298
2024-06-14,i-00006704,c5.large,58.73,65.42,4.7614,3.1379,2.3863
2024-06-15,i-00006704,c5.large,27.85,32.55,0.0,2.4971,2.3299
2024-06-16,i-00006704,c5.large,27.73,33.4,1.6025,1.4277,2.18
2024-06-17,i-00006704,c5.large,66.79,68.66,5.8008,3.8101,2.3896
2024-06-18,i-00006704,c5.large,46.31,57.5,2.9118,5.5892,1.2344
2024-06-19,i-00006704,c5.large,59.82,71.26,2.4277,5.8837,1.3099
2024-06-20,i-00006704,c5.large,60.56,86.8,5.9671,4.6946,2.6272
2024-06-21,i-00006704,c5.large,65.09,62.89,11.9618,5.8755,2.571
2024-06-22,i-00006704,c5.large,24.0,34.44,1.6966,0.0,2.0964
2024-06-23,i-00006704,c5.large,27.43,37.98,0.3411,0.0,2.0349
2024-06-24,i-00006704,c5.large,31.36,56.8,1.4642,2.6183,2.3739
2024-06-25,i-00006704,c5.large,57.32,89.46,4.9382,2.4566,2.2957
2024-06-26,i-00006704,c5.large,51.84,57.03,10.8845,3.3949,2.3707
2024-06-27,i-00006704,c5.large,49.2,55.69,7.3672,3.1402,2.2278
2024-06-28,i-00006704,c5.large,40.86,45.44,4.0434,0.0,2.03
2024-06-29,i-00006704,c5.large,19.5,31.99,1.8432,1.3636,2.1841
2024-06-30,i-00006704,c5.large,21.84,21.11,1.8027,1.0199,2.1303
2024-01-01,i-00017350,r5.large,46.43,36.93,4.3597,0.5962,2.9686
2024-01-02,i-00017350,r5.large,50.0,55.48,3.5817,3.2527,3.3125
2024-01-03,i-00017350,r5.large,51.88,54.38,6.2932,0.0,3.0431
2024-01-04,i-00017350,r5.large,65.5,69.44,2.7149,0.0,3.0069
2024-01-05,i-00017350,r5.large,63.63,54.79,0.8256,4.1302,3.4272
2024-01-06,i-00017350,r5.large,20.56,18.93,1.8988,0.0,3.1616
2024-01-07,i-00017350,r5.large,27.77,33.61,2.9944,0.6254,3.0061
2024-01-08,i-00017350,r5.large,58.16,51.9,3.5234,2.3828,3.1774
2024-01-09,i-00017350,r5.large,61.17,79.89,4.1551,3.3046,3.2071
2024-01-10,i-00017350,r5.large,49.92,72.65,5.5209,0.1169,3.0145
2024-01-11,i-00017350,r5.large,54.9,67.62,4.512,4.3472,3.4507
2024-01-12,i-00017350,r5.large,53.78,68.26,4.1251,0.2613,3.1337
2024-01-13,i-00017350,r5.large,23.11,23.77,0.9156,0.0373,3.0685
2024-01-14,i-00017350,r5.large,25.61,24.37,1.1842,1.8198,3.0518
2024-01-15,i-00017350,r5.large,65.86,66.52,4.9273,2.7701,3.2485
2024-01-16,i-00017350,r5.large,55.63,81.1,10.4918,0.1184,2.9654
2024-01-17,i-00017350,r5.large,55.37,78.65,4.921,4.5654,3.5988
2024-01-18,i-00017350,r5.large,63.62,60.06,5.5081,3.2297,3.4225
2024-01-19,i-00017350,r5.large,62.79,83.96,2.1328,3.9909,3.3364
2024-01-20,i-00017350,r5.large,19.38,26.82,2.3949,0.4316,3.0163
2024-01-21,i-00017350,r5.large,26.68,36.35,0.0,1.1818,3.201
2024-01-22,i-00017350,r5.large,74.1,75.0,9.8005,5.6512,3.5563
2024-01-23,i-00017350,r5.large,57.26,74.7,1.4264,3.1586,3.2857
2024-01-24,i-00017350,r5.large,62.91,73.26,4.6135,0.9228,3.0569
2024-01-25,i-00017350,r5.large,49.88,50.65,4.6353,2.3578,3.1843
2024-01-26,i-00017350,r5.large,53.76,70.92,1.8648,3.4173,3.5689
2024-01-27,i-00017350,r5.large,25.48,38.03,1.4429,0.0,3.1966
2024-01-28,i-00017350,r5.large,25.69,28.27,0.5557,0.0,3.0137
2024-01-29,i-00017350,r5.large,56.01,75.55,5.9138,0.8237,2.9682
2024-01-30,i-00017350,r5.large,70.38,60.88,3.8998,2.8344,3.2828
2024-01-31,i-00017350,r5.large,54.75,56.27,3.4859,4.2799,3.3898
2024-02-01,i-00017350,r5.large,55.89,59.66,5.7193,0.8622,3.0295
2024-02-02,i-00017350,r5.large,57.51,63.34,3.1867,2.0332,3.1526
2024-02-03,i-00017350,r5.large,27.01,48.33,0.0625,0.9136,3.0338
2024-02-04,i-00017350,r5.large,20.94,27.55,0.0,1.4513,3.4205
2024-02-05,i-00017350,r5.large,52.51,62.32,1.6881,5.4354,3.5445
2024-02-06,i-00017350,r5.large,56.69,75.47,6.4592,3.1255,3.2078
2024-02-07,i-00017350,r5.large,64.7,56.6,6.0747,5.0016,3.4733
2024-02-08,i-00017350,r5.large,52.59,66.33,3.7394,2.534,3.2088
2024-02-09,i-00017350,r5.large,58.54,69.46,5.1301,0.0481,3.0283
2024-02-10,i-00017350,r5.large,28.21,34.78,1.7755,0.8863,3.0607
2024-02-11,i-00017350,r5.large,28.11,35.25,0.0,1.6225,3.2313
2024-02-12,i-00017350,r5.large,60.39,74.0,3.2576,2.8353,3.2848
2024-02-13,i-00017350,r5.large,58.32,68.88,5.4077,2.6779,3.1768
2024-02-14,i-00017350,r5.large,55.09,45.31,1.895,0.0,2.9225
2024-02-15,i-00017350,r5.large,51.88,57.76,4.4872,4.2728,3.3378
2024-02-16,i-00017350,r5.large,63.35,51.27,6.7845,1.6385,3.2689
2024-02-17,i-00017350,r5.large,25.32,31.83,0.8202,1.0346,3.0646
2024-02-18,i-00017350,r5.large,20.45,24.87,1.9806,2.3901,3.0811
2024-02-19,i-00017350,r5.large,66.38,83.3,1.382,3.9706,3.4016
2024-02-20,i-00017350,r5.large,59.34,49.28,2.6444,0.0,1.2518
2024-02-21,i-00017350,r5.large,51.4,66.63,6.6952,14.655,12.7565
2024-02-22,i-00017350,r5.large,58.48,85.55,6.1977,0.0,2.7475
2024-02-23,i-00017350,r5.large,63.2,50.74,3.0788,5.0446,3.5958
2024-02-24,i-00017350,r5.large,20.46,29.13,2.1722,1.3678,3.109
2024-02-25,i-00017350,r5.large,29.41,40.4,1.4758,0.0,2.9513
2024-02-26,i-00017350,r5.large,55.76,59.31,3.9876,0.0901,2.9494
2024-02-27,i-00017350,r5.large,71.01,91.05,2.2953,2.7717,3.1728
2024-02-28,i-00017350,r5.large,45.38,54.55,4.2761,1.413,3.1288
2024-02-29,i-00017350,r5.large,58.88,58.9,4.1632,4.4761,3.3953
2024-03-01,i-00017350,r5.large,68.57,75.23,1.8403,4.0657,3.4396
2024-03-02,i-00017350,r5.large,22.73,27.81,0.1605,0.4566,2.9945
2024-03-03,i-00017350,r5.large,19.85,33.95,1.3364,1.5896,3.2043
2024-03-04,i-00017350,r5.large,54.27,87.31,3.7366,1.8638,3.2159
2024-03-05,i-00017350,r5.large,63.98,47.86,8.1587,4.5033,3.6121
2024-03-06,i-00017350,r5.large,54.92,78.39,4.7267,1.9131,3.2419
2024-03-07,i-00017350,r5.large,48.68,49.29,1.3394,0.2469,2.8084
2024-03-08,i-00017350,r5.large,51.18,71.34,5.9139,2.1451,3.2882
2024-03-09,i-00017350,r5.large,28.34,40.78,2.6991,1.5798,3.0937
2024-03-10,i-00017350,r5.large,21.17,32.57,1.2474,0.0,1.8673
2024-03-11,i-00017350,r5.large,57.93,74.14,1.1122,2.1851,3.0809
2024-03-12,i-00017350,r5.large,57.18,64.3,4.6436,4.7282,2.9982
2024-03-13,i-00017350,r5.large,43.74,43.62,3.9718,0.2837,3.0545
2024-03-14,i-00017350,r5.large,47.68,45.88,1.6589,2.886,3.3603
2024-03-15,i-00017350,r5.large,51.26,55.89,4.9497,3.8654,3.4547
2024-03-16,i-00017350,r5.large,27.57,28.38,0.0,2.446,3.0773
2024-03-17,i-00017350,r5.large,27.53,37.43,3.3176,0.0,3.0432
2024-03-18,i-00017350,r5.large,58.97,66.13,6.3023,2.832,3.2895
2024-03-19,i-00017350,r5.large,61.18,63.08,3.6291,3.501,3.3584
2024-03-20,i-00017350,r5.large,50.81,61.51,4.7257,6.7071,3.6629
2024-03-21,i-00017350,r5.large,52.19,65.25,5.3451,4.9951,3.4389
2024-03-22,i-00017350,r5.large,58.15,70.4,3.0765,4.795,3.4688
2024-03-23,i-00017350,r5.large,27.38,23.74,1.7629,1.5167,3.0838
2024-03-24,i-00017350,r5.large,22.07,20.8,2.9213,1.3735,3.2654
2024-03-25,i-00017350,r5.large,41.33,57.34,1.7906,0.5021,2.9572
2024-03-26,i-00017350,r5.large,55.41,72.78,6.3011,2.4701,3.2691
2024-03-27,i-00017350,r5.large,46.98,62.07,3.9324,1.842,3.2423
2024-03-28,i-00017350,r5.large,47.55,51.99,4.6488,0.0,3.0253
2024-03-29,i-00017350,r5.large,48.49,56.6,4.5546,3.7368,3.3306
2024-03-30,i-00017350,r5.large,26.33,25.18,2.484,1.8769,3.3633
2024-03-31,i-00017350,r5.large,24.8,36.05,0.4624,0.0,2.9543
2024-04-01,i-00017350,r5.large,48.65,68.59,4.7208,3.7162,3.3864
2024-04-02,i-00017350,r5.large,46.38,57.81,2.1002,0.8488,3.092
2024-04-03,i-00017350,r5.large,52.56,71.42,1.5996,4.5611,3.3706
2024-04-04,i-00017350,r5.large,49.04,56.6,2.0905,2.6273,3.0275
2024-04-05,i-00017350,r5.large,45.54,55.37,6.5751,3.5106,3.2613
2024-04-06,i-00017350,r5.large,24.05,33.86,2.1343,0.5987,3.0358
2024-04-07,i-00017350,r5.large,20.82,32.16,1.3061,0.0,3.1951
2024-04-08,i-00017350,r5.large,39.13,49.08,6.0629,2.6928,3.3019
2024-04-09,i-00017350,r5.large,73.22,76.29,7.674,6.1079,3.528
2024-04-10,i-00017350,r5.large,62.42,80.25,4.5285,3.0296,3.2086
2024-04-11,i-00017350,r5.large,51.52,54.78,9.1075,2.9584,3.3161
2024-04-12,i-00017350,r5.large,57.23,64.75,6.3558,3.8918,3.4153
2024-04-13,i-00017350,r5.large,23.78,37.53,2.8666,0.8268,3.1464
2024-04-14,i-00017350,r5.large,30.04,36.44,0.4111,0.0,3.021
2024-04-15,i-00017350,r5.large,55.68,84.13,7.5036,4.6371,3.4217
2024-04-16,i-00017350,r5.large,53.49,59.7,4.5015,1.8766,3.2647
2024-04-17,i-00017350,r5.large,59.97,78.07,2.7862,0.0,3.0534
2024-04-18,i-00017350,r5.large,67.57,77.96,5.4024,4.7105,3.601
2024-04-19,i-00017350,r5.large,51.9,50.37,2.2441,2.5741,3.4112
2024-04-20,i-00017350,r5.large,15.97,16.34,0.9419,0.462,3.1383
2024-04-21,i-00017350,r5.large,22.89,30.53,0.0,1.4859,3.1535
2024-04-22,i-00017350,r5.large,60.65,59.36,3.5529,1.4926,1.7407
2024-04-23,i-00017350,r5.large,51.43,67.63,3.1438,1.4713,3.1839
2024-04-24,i-00017350,r5.large,36.02,43.39,6.9831,0.0,3.1247
2024-04-25,i-00017350,r5.large,49.04,55.37,0.0,0.0,3.1646
2024-04-26,i-00017350,r5.large,55.81,64.06,3.8414,3.2081,3.1615
2024-04-27,i-00017350,r5.large,21.08,26.4,0.0,0.0,3.1143
2024-04-28,i-00017350,r5.large,25.0,28.48,2.428,1.7299,3.1438
2024-04-29,i-00017350,r5.large,61.15,78.55,4.7574,4.5053,3.3872
2024-04-30,i-00017350,r5.large,62.97,58.72,1.4038,1.468,3.1415
2024-05-01,i-00017350,r5.large,49.38,46.74,7.6975,4.0404,3.3408
2024-05-02,i-00017350,r5.large,57.62,75.0,5.4718,0.0,3.0931
2024-05-03,i-00017350,r5.large,69.53,56.6,6.4238,3.8912,3.3851
2024-05-04,i-00017350,r5.large,29.71,34.4,1.6672,1.9034,3.2687
2024-05-05,i-00017350,r5.large,28.68,36.05,0.0,0.4304,3.1136
2024-05-06,i-00017350,r5.large,63.07,59.41,8.0825,6.3821,3.6961
2024-05-07,i-00017350,r5.large,50.19,47.22,6.6115,3.1678,3.3102
2024-05-08,i-00017350,r5.large,59.44,70.64,9.7909,3.1202,3.4925
2024-05-09,i-00017350,r5.large,54.44,66.06,3.8541,5.2363,3.5209
2024-05-10,i-00017350,r5.large,53.6,45.17,3.0165,0.2915,3.108
2024-05-11,i-00017350,r5.large,26.22,40.79,1.4216,0.4111,3.2466
2024-05-12,i-00017350,r5.large,26.55,31.64,0.8915,0.0,2.9895
2024-05-13,i-00017350,r5.large,61.72,90.53,6.6941,3.7345,3.5297
2024-05-14,i-00017350,r5.large,47.47,55.46,0.2112,3.647,3.4166
2024-05-15,i-00017350,r5.large,51.88,70.78,3.4234,1.6344,3.3016
2024-05-16,i-00017350,r5.large,62.74,82.23,7.0557,5.4982,3.6677
2024-05-17,i-00017350,r5.large,59.99,91.25,6.8251,4.8392,3.3741
2024-05-18,i-00017350,r5.large,25.78,39.99,0.6965,2.4332,3.2629
2024-05-19,i-00017350,r5.large,21.52,32.49,2.4144,0.0,3.0987
2024-05-20,i-00017350,r5.large,51.86,56.6,4.9332,4.76,3.6241
2024-05-21,i-00017350,r5.large,49.54,69.1,3.4155,2.6811,3.4089
2024-05-22,i-00017350,r5.large,54.66,58.09,5.0973,3.2786,3.4393
2024-05-23,i-00017350,r5.large,53.29,70.22,6.5149,3.0328,3.2023
2024-05-24,i-00017350,r5.large,53.75,50.47,5.8534,7.5248,3.4905
2024-05-25,i-00017350,r5.large,21.77,26.89,1.6407,0.0,3.0648
2024-05-26,i-00017350,r5.large,22.23,18.66,0.6729,2.8919,11.0889
2024-05-27,i-00017350,r5.large,66.49,67.82,5.8225,4.6589,3.4958
2024-05-28,i-00017350,r5.large,58.63,54.09,8.0477,2.2841,3.2432
2024-05-29,i-00017350,r5.large,53.08,42.78,2.0349,1.3337,3.1095
2024-05-30,i-00017350,r5.large,62.63,77.91,6.9983,2.2197,3.1162
2024-05-31,i-00017350,r5.large,64.49,69.49,7.2027,0.0,3.0137
2024-06-01,i-00017350,r5.large,27.29,33.75,1.3798,1.0643,3.1349
2024-06-02,i-00017350,r5.large,20.84,37.01,0.0,0.9532,3.0752
2024-06-03,i-00017350,r5.large,53.64,66.13,2.3675,0.8844,3.0605
2024-06-04,i-00017350,r5.large,51.78,64.18,10.9981,5.6783,3.6037
2024-06-05,i-00017350,r5.large,40.79,50.4,6.5091,1.6222,2.5544
2024-06-06,i-00017350,r5.large,51.85,62.25,7.6736,0.9688,3.1421
2024-06-07,i-00017350,r5.large,61.98,78.84,4.7402,5.3998,3.4369
2024-06-08,i-00017350,r5.large,51.88,42.0,3.2346,1.7694,3.1676
2024-06-09,i-00017350,r5.large,34.24,30.58,2.6885,0.1432,2.9767
